,comment,name,price,shop,type
0,4400000+,荣耀8X 千元屏霸 91%屏占比 2000万AI双摄 4GB+64GB 幻夜黑 移动联通电信4G全面屏手机 双卡双待,1399.00,荣耀京东自营旗舰店,自营
1,7900000+,荣耀10 GT游戏加速 AIS手持夜景 6GB+64GB 幻影蓝全网通 移动联通电信4G 双卡双待 游戏手机,2299.00,荣耀京东自营旗舰店,自营
2,8800000+,荣耀 V10 高配版 6GB+64GB 幻夜黑 移动联通电信4G全面屏游戏手机 双卡双待,1999.00,荣耀京东自营旗舰店,自营
3,8800000+,荣耀9i 4GB+64GB 幻夜黑 移动联通电信4G全面屏手机 双卡双待,1199.00,荣耀京东自营旗舰店,自营
4,7000000+,荣耀畅玩7C 全面屏手机 全网通标配版 3GB+32GB 铂光金 移动联通电信4G手机 双卡双待,799.00,荣耀京东自营旗舰店,自营
5,3200000+,华为 HUAWEI Mate 20 麒麟980AI智能芯片全面屏超微距影像超大广角徕卡三摄6GB+128GB亮黑色全网通版双4G手机,4499.00,华为京东自营官方旗...,自营
6,200000+,【任性用套装版】华为 HUAWEI Mate 20 Pro（UD）8GB+128GB 樱粉金 全网通版 徕卡三摄 双4G手机 双卡双待,6299.00,华为京东自营官方旗...,自营
7,4600000+,华为 HUAWEI P20 AI智慧徕卡双摄全面屏游戏手机 6GB+64GB 极光色 全网通移动联通电信4G手机 双卡双待,3388.00,华为京东自营官方旗...,自营
8,3700000+,荣耀畅玩7A 全面屏手机 全网通标配版 2GB+32GB 铂光金 移动联通电信4G手机 双卡双待,699.00,荣耀京东自营旗舰店,自营
9,12200000+,荣耀9青春版 全网通 尊享版 4GB+64GB 海鸥灰 移动联通电信4G全面屏手机 双卡双待,1199.00,荣耀京东自营旗舰店,自营
10,3100000+,荣耀Play 全网通版 6GB+64GB 幻夜黑 移动联通电信4G全面屏游戏手机 双卡双待,1999.00,荣耀京东自营旗舰店,自营
11,2300000+,华为 HUAWEI 畅享9 Plus 4GB+64GB 幻夜黑 全网通 四摄超清全面屏大电池 移动联通电信4G手机 双卡双待,1499.00,华为京东自营官方旗...,自营
12,11600000+,荣耀 畅玩7X 4GB+32GB 全网通4G全面屏手机 标配版 极光蓝,999.00,荣耀京东自营旗舰店,自营
13,2000000+,华为 HUAWEI 畅享7S 全面屏双摄 4GB +64GB 黑色 移动联通电信4G手机 双卡双待,1279.00,华为京东自营官方旗...,自营
14,9400000+,华为 HUAWEI nova 3i 全面屏高清四摄游戏手机4GB+128GB 蓝楹紫 全网通移动联通电信4G手机双卡双待,1999.00,华为京东自营官方旗...,自营
15,1600000+,华为畅享8 全面屏三卡槽 4GB+64GB 金色 全网通高配版 移动联通电信4G手机 双卡双待,1299.00,华为京东自营官方旗...,自营
16,1900000+,华为畅享7 Plus 4GB+64GB 香槟金 移动联通电信4G手机 双卡双待,999.00,华为京东自营官方旗...,自营
17,9200000+,荣耀8X Max 7.12英寸90%屏占比珍珠屏 4GB+64GB 魅海蓝 移动联通电信4G全面屏手机 双卡双待,1499.00,荣耀京东自营旗舰店,自营
18,2800000+,华为 HUAWEI P20 Pro 全面屏徕卡三摄游戏手机 6GB+128GB 极光色 全网通移动联通电信4G手机 双卡双待,4988.00,华为京东自营官方旗...,自营
19,2700000+,华为 HUAWEI nova 3e 全面屏2400万前置摄像 4GB +64GB 克莱因蓝 全网通版移动联通电信4G手机 双卡双待,1499.00,华为京东自营官方旗...,自营
20,1700000+,华为 HUAWEI nova 2 Plus 4GB+128GB 曜石黑 移动联通电信4G手机 双卡双待,1259.00,华为京东自营官方旗...,自营
21,1500000+,华为 HUAWEI nova 3全面屏高清四摄游戏手机 6GB+128GB 亮黑色 全网通移动联通电信4G手机 双卡双待,2799.00,华为京东自营官方旗...,自营
22,2400000+,荣耀 畅玩7 2GB+16GB 金色 全网通4G手机 双卡双待,599.00,荣耀京东自营旗舰店,自营
23,2200000+,华为 HUAWEI Mate 10 Pro 全面屏徕卡双摄游戏手机 6GB+128GB 银钻灰 全网通移动联通电信4G手机 双卡双待,3799.00,华为京东自营官方旗...,自营
24,1100000+,华为 HUAWEI 畅享8e 青春版 2GB+32GB全面屏 金色 全网通版 移动联通电信4G手机 双卡双待,699.00,华为京东自营官方旗...,自营
25,1800000+,华为畅享8 Plus 高清四摄大电池 4G+64G 金色 全网通版 移动联通电信4G手机 双卡双待,1399.00,华为京东自营官方旗...,自营
26,3000000+,华为 HUAWEI Mate 10 4GB+64GB 亮黑色 移动联通电信4G手机 双卡双待,2999.00,华为京东自营官方旗...,自营
27,7300000+,荣耀Note10 全网通6G+64G 幻夜黑 移动联通电信4G全面屏手机 双卡双待 游戏手机,2699.00,荣耀京东自营旗舰店,自营
28,2600000+,荣耀畅玩8C 全网通标配版 4GB+32GB 幻夜黑 移动联通电信4G全面屏手机 双卡双待,999.00,荣耀京东自营旗舰店,自营
29,1900000+,华为 麦芒5 全网通 4GB+64GB版 香槟金 移动联通电信4G手机 双卡双待,1099.00,华为京东自营官方旗...,自营
30,4900+,华为 HUAWEI 畅享MAX 4GB+64GB 幻夜黑 全网通版 珍珠屏杜比全景声大电池 移动联通电信4G手机 双卡双待,1699.00,华为京东自营官方旗...,自营
31,4600000+,华为畅享8e 全面屏后置双摄 3G+32G 黑色 全网通版 移动联通电信4G手机 双卡双待,999.00,华为京东自营官方旗...,自营
32,100000+,华为（HUAWEI） 荣耀10手机GT游戏加速 幻影蓝 全网通6G+128G尊享版,2295.00,牧申手机旗舰店,自营
33,8600+,华为（HUAWEI） 荣耀10 GT游戏手机 幻影蓝 全网通6GB+128GB尊享版,2295.00,佳沪手机旗舰店,自营
34,8300+,华为 HUAWEI 麦芒7 6G+64G 亮黑色 全网通 前置智慧双摄 移动联通电信4G手机 双卡双待,2399.00,华为京东自营官方旗...,自营
35,1700000+,华为（HUAWEI） 荣耀V10手机 极光蓝 全网通高配版(6G+64G),1819.00,新松联手机旗舰店,自营
36,6700+,华为（HUAWEI） 荣耀Play 游戏手机 幻夜黑 全网通6GB+128GB尊享版,1948.00,佳沪手机旗舰店,自营
37,6300+,华为（HUAWEI） Mate10 全面屏 手机 亮黑色 全网通(6G+128G),3088.00,掌视界数码旗舰店,自营
38,1300000+,华为（HUAWEI） 荣耀畅玩7 全面屏 智能老人手机 蓝色 全网通（2G+16G）,599.00,博海宇通手机旗舰店,自营
39,5600+,华为（HUAWEI） P20 全面屏 手机 极光 全网通（6G+128G）【送华为原装好礼】,3888.00,掌视界数码旗舰店,自营
40,6400+,华为（HUAWEI） 荣耀 畅玩7X 移动联通电信 全网通4G 全面屏智能手机 双卡双待 极光蓝 标准版(4G RAM+32G ROM),995.00,众盛手机专营店,自营
41,100000+,华为（HUAWEI） 荣耀 畅玩7 全网通 移动联通电信4G 全面屏智能老人手机 双卡双待 金色 (2G RAM+16G ROM),599.00,众盛手机专营店,自营
42,5100+,华为（HUAWEI） Mate10 Pro 全面屏 手机 宝石蓝色 全网通4G(6G+64G),2980.00,掌视界数码旗舰店,自营
43,8700+,华为（HUAWEI） 荣耀V10手机 幻夜黑 6G+64G 高配（移动全网通）,1747.00,牧申手机旗舰店,自营
